Probe_ID,beta_diff,adj.P.Val,t,gene,feat.cgi,chr,coord,is_candidate
cg20219457,0.574433964,2.57E-100,25.64666746,DCLK1,1stExon-island,13,36705446,TRUE
cg08247376,0.585179468,1.78E-93,24.43538955,C17orf46,Body-island,17,43339358,FALSE
cg27515369,0.641088819,1.83E-57,17.87521674,SPSB4,TSS200-island,3,140770599,FALSE
cg04480386,0.600615477,6.06E-73,20.75424949,CDH12,5'UTR-opensea,5,22853134,TRUE
cg14650610,0.586428958,3.17E-100,25.63044521,SPOCK1,5'UTR-island,5,136834492,TRUE
cg02245020,0.565837705,2.21E-101,25.83459199,FAM115A,5'UTR-shore,7,143580147,FALSE
cg07095995,0.570072665,2.77E-112,27.76156792,COL25A1,TSS200-island,4,110223980,FALSE
cg09248054,0.572507049,3.60E-128,30.57135652,AGRN,Body-island,1,969257,FALSE
cg08190291,0.584279846,4.06E-88,23.48361757,ADAMTS5,TSS200-island,21,28339442,TRUE
cg26036626,0.577319375,2.98E-124,29.87695581,FBLIM1,5'UTR-island,1,16085597,TRUE
cg11965976,0.614288073,2.79E-72,20.63316143,FBN2,TSS1500-island,5,127874463,TRUE
cg27200446,0.565235582,4.58E-124,29.84389351,MDFI,5'UTR-island,6,41606439,TRUE
cg05981038,-0.580215572,4.80E-98,-25.2442885,CARD6,1stExon-opensea,5,40841590,FALSE
cg03048083,0.572790644,8.58E-80,21.9934772,LOC100133991,Body-island,17,43339497,FALSE
cg00240432,0.528934724,3.78E-58,18.00517549,TWIST1,TSS200-island,7,19157296,TRUE
cg18203366,0.547215453,7.72E-118,28.74151005,NR5A2,Body-island,1,200010626,TRUE
cg26878816,0.606423444,7.83E-86,23.07590966,SFMBT2,5'UTR-island,10,7452598,FALSE
cg20737185,0.641223878,4.39E-53,17.03195226,C6orf186,TSS200-island,6,110679566,FALSE
cg14861089,0.565191121,3.06E-109,27.22470432,TLX1,Body-island,10,102895043,TRUE
cg20702559,0.535260403,1.72E-62,18.82434375,FAM110B,5'UTR-island,8,58907821,TRUE
cg05937969,0.566950926,5.10E-83,22.5724837,CASR,5'UTR-island,3,121903016,TRUE
cg24589459,0.574178612,1.92E-72,20.66253688,BOLL,TSS1500-island,2,198651347,FALSE
cg12587766,0.583464216,6.20E-74,20.93518577,LIFR,1stExon-island,5,38556435,TRUE
cg07629355,0.545647652,1.40E-99,25.51549904,IGSF9B,Body-island,11,133825519,FALSE
cg07198552,0.570622799,7.63E-143,33.19211133,CDH4,Body-island,20,59828977,TRUE
cg03976877,0.574971342,2.84E-93,24.39918577,VIPR2,1stExon-island,7,158937610,TRUE
cg14063008,0.670424859,2.33E-48,16.10370305,DAB2IP,Body-shore,9,124461599,TRUE
cg14763548,0.553523412,7.69E-115,28.21286425,VSX1,1stExon-island,20,25062447,TRUE
cg13267264,0.573939464,6.13E-82,22.37888186,PRDM14,TSS200-island,8,70983600,TRUE
cg07136998,0.565778769,3.91E-87,23.30785941,SLIT3,5'UTR-island,5,168728081,TRUE
cg15170605,0.626875673,1.86E-51,16.71477882,ADD2,TSS200-shore,2,70995459,FALSE
cg08131100,0.628287452,5.54E-51,16.62195535,KRBA1,TSS1500-island,7,149411652,FALSE
cg24185576,0.519348284,4.86E-47,15.83984169,MPPED2,5'UTR-island,11,30607360,TRUE
cg24507144,0.524496027,1.23E-51,16.74976983,FGF14,Body-island,13,103047225,FALSE
cg24403845,0.574443465,2.90E-80,22.07855806,SORCS1,TSS200-island,10,108924366,FALSE
cg14249876,0.562690518,3.11E-79,21.89311442,AEBP1,1stExon-opensea,7,44143993,TRUE
cg06952671,0.540366956,4.91E-144,33.40684359,ITGA4,5'UTR-island,2,182322268,TRUE
cg26593267,0.545853485,6.89E-110,27.33904512,F7,Body-island,13,113764871,TRUE
cg01134282,0.600255889,1.07E-58,18.10985083,RALYL,TSS1500-shore,8,85094904,TRUE
cg01029623,0.526333994,2.89E-190,42.04017891,KDM2B,Body-island,12,122016779,TRUE
cg01893212,0.624023138,1.95E-56,17.67858832,VWC2,TSS200-island,7,49813088,FALSE
cg04882394,0.559315387,2.78E-79,21.90174366,MIB2,3'UTR-island,1,1565931,TRUE
cg22821324,0.555160909,1.43E-98,25.33758297,GPM6A,5'UTR-island,4,176923439,FALSE
cg23142394,0.574021639,1.50E-82,22.48848991,LOC283392,Body-island,12,72665771,FALSE
cg04389897,0.543702628,1.74E-120,29.20911269,TFAP2A,3'UTR-island,6,10398601,TRUE
cg11163620,0.547088487,5.84E-103,26.11378786,GLRB,5'UTR-island,4,157997554,FALSE
cg17859110,0.583724378,3.42E-75,21.16327992,PTPRT,TSS1500-island,20,41818770,TRUE
cg14626259,0.53386376,1.18E-112,27.8274809,SIM2,Body-shore,21,38079019,TRUE
cg20392607,0.556713828,1.20E-79,21.96732068,KCNA1,TSS1500-island,12,5018798,FALSE
cg08162124,0.577285293,1.09E-146,33.88658366,ATP11A,Body-shore,13,113428094,FALSE
cg10756127,0.565742407,4.85E-58,17.98471206,TLL1,Body-shore,4,166795524,FALSE
cg05006349,0.541109028,3.47E-97,25.0923351,KIAA1026,1stExon-island,1,14925517,FALSE
cg00421139,0.532820619,1.36E-140,32.78740394,GDF6,1stExon-island,8,97172961,TRUE
cg04883903,0.551635627,1.47E-104,26.39554831,NOS1,5'UTR-island,12,117798954,TRUE
cg03502002,0.542537377,6.01E-109,27.17258477,GALR1,1stExon-island,18,74962133,TRUE
cg17362861,0.54056518,1.63E-102,26.0348907,WDR86,TSS200-island,7,151107257,FALSE
cg14233354,0.550530279,3.37E-92,24.20903465,CRTAC1,TSS200-island,10,99790761,FALSE
cg00556112,0.612446927,1.18E-55,17.52864839,DRD4,TSS200-island,11,637173,FALSE
cg01808545,0.505054028,3.36E-56,17.63313376,TMEFF2,TSS200-island,2,193059717,TRUE
cg24562819,0.550914921,9.71E-97,25.01303042,THBD,1stExon-island,20,23029806,TRUE
cg13823136,0.537832756,6.03E-116,28.40786503,ST6GALNAC5,TSS200-island,1,77333138,TRUE
cg21187769,0.504527625,3.73E-52,16.85105875,GRID2,Body-island,4,93226495,FALSE
cg22333214,0.523625575,4.76E-113,27.89695849,MIR137,TSS200-shore,1,98511789,TRUE
cg07700514,0.539923479,8.60E-75,21.09105442,DKFZP434H168,TSS200-shelf,16,56228467,FALSE
cg14094027,-0.522228598,6.03E-116,-28.40772092,PXN,5'UTR-opensea,12,120669080,TRUE
cg05245861,0.557818197,6.87E-65,19.27173552,C18orf34,TSS1500-island,18,31020511,FALSE
cg06159352,0.575882729,3.46E-61,18.57945219,ELMO1,5'UTR-island,7,37487613,TRUE
cg01901262,0.543041613,3.30E-113,27.92495264,IRX5,Body-island,16,54966837,TRUE
cg01295518,0.533851794,2.53E-61,18.60495888,CHL1,TSS1500-island,3,238392,TRUE
cg10145246,0.5273845,1.17E-122,29.59439762,TBX15,5'UTR-shore,1,119527884,TRUE
cg04457196,0.560511799,3.32E-70,20.25364782,FIGN,TSS1500-island,2,164593264,FALSE
cg20265733,0.61116683,5.79E-56,17.58792825,GATA5,TSS200-island,20,61051032,TRUE
cg24610236,0.61080119,1.91E-62,18.81590969,CRHR2,1stExon-island,7,30722114,TRUE
cg10989763,0.528685617,6.16E-124,29.82099709,NXPH2,Body-island,2,139537745,FALSE
cg14106046,-0.529538774,1.03E-102,-26.07045245,B3GNTL1,Body-shelf,17,81006485,TRUE
cg02500300,0.537815539,1.55E-98,25.33151787,STOX2,1stExon-island,4,184827754,FALSE
cg03853987,0.503615768,3.50E-44,15.26082919,CHST10,TSS200-island,2,101034279,FALSE
cg09314495,-0.512593989,1.70E-92,-24.26116409,CDK14,Body-opensea,7,90454617,TRUE
cg01618102,-0.509982933,1.61E-97,-25.15175542,BAI3,Body-opensea,6,69717664,FALSE
cg02650317,0.556065927,8.20E-73,20.73018496,MIR124-3,TSS1500-island,20,61808888,TRUE
cg03430846,0.546141965,2.07E-88,23.53545237,NRG1,TSS200-island,8,31497082,TRUE
cg18106312,0.559901996,2.31E-71,20.46524722,TRIM9,Body-island,14,51560488,FALSE
cg20968743,-0.54148199,7.32E-141,-32.83676234,TSPAN18,5'UTR-opensea,11,44883965,FALSE
cg22474464,0.552913871,8.55E-75,21.09157565,NKX2-2,Body-island,20,21492914,TRUE
cg03382304,0.553071329,3.93E-79,21.874869,JAM2,1stExon-island,21,27012176,TRUE
cg07561894,0.556805892,4.58E-90,23.8296694,SSBP4,Body-island,19,18540208,FALSE
cg08218734,0.537433324,1.56E-81,22.3060835,FAM196A,5'UTR-island,10,128993810,FALSE
cg22365276,-0.539413793,2.16E-95,-24.7746366,ANXA2,5'UTR-shore,15,60688622,TRUE
cg00343633,0.528874733,2.61E-109,27.23720855,GRIA4,5'UTR-island,11,105481306,TRUE
cg14573876,-0.506848863,2.41E-87,-23.34519037,MAP2K2,Body-shelf,19,4105153,TRUE
cg07418387,-0.513150514,3.66E-88,-23.49169028,FMN2,Body-shelf,1,240375464,TRUE
cg15167956,0.551850214,1.52E-70,20.31544108,C13orf38,1stExon-island,13,36871948,FALSE
cg16741041,0.538235178,9.46E-78,21.6258572,SPG20,5'UTR-island,13,36920332,FALSE
cg06674117,-0.503638844,6.61E-111,-27.51836654,RHOT1,Body-opensea,17,30488883,FALSE
cg07304692,0.525335159,1.22E-123,29.7687839,LONRF2,5'UTR-island,2,100939045,FALSE
cg23684973,0.546187296,4.92E-75,21.13493443,ADARB2,TSS1500-island,10,1780003,TRUE
cg09734791,0.528514296,5.52E-133,31.42460276,MSC,1stExon-island,8,72756155,TRUE
cg08534653,0.55038318,1.16E-88,23.58025383,PXDN,Body-island,2,1747700,TRUE
cg16886987,0.539967718,1.86E-75,21.21109056,DSCR6,TSS1500-island,21,38378634,FALSE
cg05829782,0.557228526,4.12E-63,18.94012343,VSX2,Body-island,14,74707911,FALSE
cg13186327,0.566364831,9.16E-59,18.1222348,DBX2,TSS200-island,12,45444895,TRUE
cg25535587,0.558030163,4.81E-72,20.59003838,DYDC2,TSS200-island,10,82116456,FALSE
cg24393316,0.51274556,3.88E-78,21.69519125,FOXE1,1stExon-island,9,100616469,TRUE
cg13631916,0.55009,6.12E-59,18.15541693,FAM162B,TSS200-island,6,117086931,TRUE
cg12821278,0.53709223,1.74E-86,23.19208527,DBC1,TSS200-island,9,122131895,FALSE
cg16848116,0.582458968,3.75E-53,17.0451452,ZNF304,TSS200-island,19,57862627,FALSE
cg26541218,-0.50854566,3.81E-92,-24.19939495,PKD1L1,Body-opensea,7,47826387,FALSE
cg25781595,0.503837943,4.14E-70,20.23610724,GRIN2D,Body-shore,19,48918712,FALSE
cg13975523,0.543951593,1.26E-60,18.47399042,TNFSF11,Body-island,13,43148684,TRUE
cg11008243,0.506833779,9.62E-93,24.30527744,KCNQ5,TSS1500-island,6,73331238,TRUE
cg12079322,0.533170462,2.54E-76,21.36807845,GALNT13,5'UTR-shore,2,154728468,TRUE
cg27037018,0.544200003,4.55E-61,18.55709784,SLC6A3,TSS200-island,5,1445567,TRUE
cg02861178,-0.510433484,7.03E-263,-57.41842166,C20orf94,Body-opensea,20,10492319,FALSE
cg15322783,0.575386625,1.63E-58,18.07478661,ZNF829,1stExon-island,19,37407152,FALSE
cg23931421,0.56899592,1.90E-67,19.7461891,SYNE1,5'UTR-island,6,152957999,TRUE
cg00177451,0.527557055,1.41E-88,23.56525356,SALL1,TSS1500-island,16,51186266,TRUE
cg18623672,0.536017604,8.23E-80,21.99679951,LPPR5,1stExon-island,1,99470207,FALSE
cg03108229,0.547870135,6.32E-64,19.0921059,GLB1L3,TSS200-island,11,134146266,FALSE
cg18237607,0.52627461,1.35E-70,20.32473115,GDNF,TSS1500-island,5,37840075,TRUE
cg24678137,0.546117715,2.17E-66,19.55022843,SYT9,Body-island,11,7273735,FALSE
cg13585930,-0.515464877,2.42E-165,-37.29927298,NPFFR1,TSS1500-opensea,10,72027357,FALSE
cg27385032,0.541474607,3.95E-66,19.50203267,ZNF334,TSS200-island,20,45142336,FALSE
cg22743884,-0.500528346,1.43E-105,-26.57679838,DEFB135,1stExon-opensea,8,11839844,FALSE
cg02165799,0.521433942,2.07E-80,22.10449113,NKAIN4,1stExon-island,20,61885850,FALSE
cg25164624,0.518833614,3.31E-105,26.51153316,GFRA4,Body-island,20,3641641,FALSE
cg23663774,0.525659101,1.09E-87,23.40692836,PITX2,5'UTR-island,4,111555440,TRUE
cg20984085,0.555705923,2.03E-65,19.36987561,ZNF582,TSS200-island,19,56905032,TRUE
cg26468007,0.532124744,1.60E-86,23.19872681,MMD2,1stExon-island,7,4998714,FALSE
cg03781266,0.516160868,4.03E-97,25.08076094,HECW1,5'UTR-island,7,43153023,FALSE
cg20061155,0.528209239,3.26E-111,27.57261252,RSPO2,5'UTR-island,8,109095388,TRUE
cg25116216,0.515954945,1.85E-102,26.02505109,GAS7,1stExon-island,17,10101581,TRUE
cg18412834,0.53201877,1.55E-68,19.94724861,FLJ16779,TSS200-island,20,61885291,FALSE
cg19638477,0.542683673,2.13E-63,18.99384072,GATA2,TSS1500-island,3,128212273,TRUE
cg23912454,0.538231964,1.03E-67,19.79494686,GUCY1A3,5'UTR-island,4,156588387,FALSE
cg10576245,-0.505937459,5.90E-102,-25.9364304,PCNXL2,Body-opensea,1,233249267,FALSE
cg12621171,0.511062954,1.35E-67,19.77343301,MEF2C,5'UTR-shore,5,88185768,TRUE
cg02459604,0.554360764,1.28E-65,19.40709095,ZNF568,5'UTR-island,19,37407284,TRUE
cg21159370,0.519445261,6.95E-59,18.1448815,ZNF804B,1stExon-island,7,88389282,FALSE
cg20924470,0.513595942,9.56E-79,21.80537265,FBXL21,TSS200-island,5,135265849,FALSE
cg02523844,0.50866811,6.59E-78,21.65395657,MAGI2,TSS1500-island,7,79083507,TRUE
cg24190603,0.50542875,1.91E-145,33.6626226,SNAP91,Body-island,6,84418433,FALSE
cg11666087,0.564511614,1.79E-62,18.82116782,BEND5,1stExon-island,1,49242513,FALSE
cg12666279,0.519492138,3.98E-58,18.00096118,DPP10,TSS1500-island,2,115918745,TRUE
cg11410023,0.518284478,3.35E-72,20.61855729,EPHA6,1stExon-island,3,96533511,TRUE
cg25437385,0.523450084,1.24E-75,21.24299242,SLC35F3,1stExon-island,1,234040833,FALSE
cg14649650,0.54856316,1.02E-75,21.25884534,FRMD4A,Body-island,10,13933996,TRUE
cg04117435,0.511575034,1.46E-81,22.31135265,NALCN,TSS1500-island,13,102069251,TRUE
cg14416371,0.504039129,2.65E-95,24.75899894,MIR129-2,TSS200-island,11,43602847,TRUE
cg12042659,0.550067758,1.49E-61,18.64827927,ZNF132,TSS200-island,19,58951599,TRUE
cg19832521,0.515235587,1.31E-72,20.69301693,NOVA1,Body-shore,14,27065974,TRUE
cg03279535,0.50835617,6.95E-60,18.33392912,GALNT14,Body-island,2,31360817,TRUE
cg14983606,0.542348886,2.45E-79,21.91153979,BHLHE22,1stExon-island,8,65493706,TRUE
cg03367387,-0.54205523,7.27E-63,-18.89405771,KIAA0226,Body-opensea,3,197439334,FALSE
cg09908110,0.551824301,2.13E-49,16.3094958,MACROD1,Body-opensea,11,63828713,TRUE
cg03757784,0.505790836,2.39E-93,24.41250761,HS3ST2,1stExon-island,16,22826113,TRUE
cg14197923,0.518672013,6.87E-84,22.72856203,FGF5,1stExon-island,4,81187906,TRUE
cg19752627,0.536135695,3.43E-76,21.34445345,TMEM130,Body-island,7,98467380,FALSE
cg01151966,0.522168222,1.09E-91,24.11870675,NRG3,TSS1500-island,10,83634485,FALSE
cg03384825,0.543072694,4.65E-67,19.67420982,DAB1,5'UTR-island,1,57889604,TRUE
cg24662718,0.555092922,4.54E-55,17.41582447,VAV3,1stExon-island,1,108507468,TRUE
cg05484788,0.504032315,2.22E-77,21.55878233,PHACTR3,Body-island,20,58180357,FALSE
cg04849842,0.511951505,7.87E-73,20.7334966,KCNK9,Body-island,8,140714610,TRUE
cg27442308,0.506486768,1.12E-78,21.79297169,SOX21,TSS1500-island,13,95364675,TRUE
cg00287312,0.546672865,2.85E-57,17.8383559,PCDH8,1stExon-island,13,53420425,TRUE
cg24535439,0.512963806,1.99E-72,20.66007879,MMP23B,TSS1500-island,1,1566351,TRUE
cg04184836,0.552280758,3.74E-63,18.94810744,CPEB1,1stExon-island,15,83316640,TRUE
cg16098981,0.516332543,6.06E-76,21.29957434,TMEM90B,5'UTR-island,20,24449865,FALSE
cg01013590,0.52318601,3.98E-71,20.42196226,SCTR,Body-island,2,120281719,TRUE
cg16642284,0.538976768,4.63E-71,20.40980397,FOXI2,TSS200-island,10,129535378,FALSE
cg24011073,-0.50221212,1.84E-103,-26.20160395,LPIN1,Body-opensea,2,11917787,TRUE
cg17460447,0.522681674,2.16E-79,21.92160949,EVC,1stExon-shore,4,5712937,FALSE
cg11957331,0.507861282,4.42E-72,20.59679246,TMEM145,Body-island,19,42828156,FALSE
cg09868336,0.522538603,7.42E-71,20.37244012,FAM19A4,TSS200-island,3,68981866,FALSE
cg14468692,0.517656137,2.68E-93,24.40360627,RNH1,5'UTR-shore,11,504784,TRUE
cg09624466,0.508909219,3.68E-53,17.046688,OTX2OS1,TSS1500-island,14,57278710,FALSE
cg09275869,0.508152776,1.19E-70,20.33524502,ST8SIA5,TSS200-island,18,44337099,FALSE
cg27279991,0.551846824,5.36E-49,16.23025542,AP3B2,Body-island,15,83349722,FALSE
cg14416311,0.517368432,1.15E-79,21.97058593,GAS1,1stExon-island,9,89560881,TRUE
cg25636478,0.511571433,2.69E-76,21.36343679,BMP2,Body-shore,20,6750989,TRUE
cg04120171,0.556274329,4.14E-51,16.64677785,TM6SF1,TSS1500-shore,15,83775850,FALSE
cg11224582,0.538872256,9.06E-58,17.93315882,KCNA6,5'UTR-island,12,4919138,FALSE
cg05667348,0.514496748,4.89E-59,18.17383048,VAX1,Body-island,10,118892581,FALSE
cg26164310,0.501770952,1.01E-58,18.11460391,LPPR4,TSS200-shore,1,99729780,FALSE
cg19019537,0.548358807,3.15E-52,16.86536871,C8orf42,TSS1500-island,8,495817,FALSE
cg03168582,0.506599387,7.63E-63,18.89007575,DMRT1,1stExon-island,9,841850,TRUE
cg18320766,0.518928167,3.63E-65,19.32309044,EPS8L1,Body-island,19,55598782,FALSE
cg14421860,0.512061784,4.69E-61,18.55452217,GPR88,Body-island,1,101004934,FALSE
cg10646402,0.566011879,9.12E-45,15.38016838,PTPRO,1stExon-island,12,15475490,TRUE
cg18789663,0.504755974,4.14E-68,19.86835881,PLD5,TSS1500-island,1,242688591,TRUE
cg24928391,0.506785749,6.85E-74,20.92722644,SOX17,TSS200-island,8,55370336,TRUE
cg15336765,0.53928096,8.93E-60,18.31346988,AQP5,1stExon-island,12,50355307,TRUE
cg04292718,0.514524809,1.86E-72,20.66524946,CD34,5'UTR-island,1,208084456,TRUE
cg09398550,0.514527572,1.77E-53,17.10832378,FAM19A1,Body-island,3,68056976,FALSE
cg09258813,0.524358008,3.01E-57,17.83398658,ADRB3,1stExon-island,8,37823409,TRUE
cg07201620,0.512297061,1.23E-51,16.74977619,EDIL3,Body-island,5,83679941,TRUE
cg12040830,0.54043182,2.08E-57,17.86458993,NCAM1,Body-island,11,112833773,TRUE
cg07589773,0.538856569,2.64E-61,18.60147014,IKZF1,TSS1500-island,7,50343883,TRUE
cg26429655,0.512841186,3.15E-55,17.44654111,ADAMTS2,TSS200-island,5,178772390,TRUE
cg27648738,0.519979347,2.20E-50,16.50432455,SH3GL3,TSS1500-island,15,84115811,FALSE
cg15760257,0.510498711,1.55E-67,19.76249157,SARM1,1stExon-island,17,26699169,FALSE
cg02647878,0.540927578,2.51E-49,16.2956788,RNF175,5'UTR-island,4,154681197,FALSE
cg00674365,0.519174473,1.99E-49,16.31535505,ZNF471,TSS200-island,19,57019069,TRUE
cg18844382,0.500878155,3.28E-69,20.07091101,EFS,TSS200-island,14,23834977,TRUE
cg05362548,0.54680761,1.60E-45,15.53361834,TDH,Body-island,8,11205166,TRUE
cg00544449,0.525421325,8.61E-50,16.38752781,KIAA1024,TSS200-island,15,79724802,FALSE
cg22434409,0.514830151,1.82E-58,18.06568085,KCNIP4,TSS1500-island,4,21950722,TRUE
cg19991916,-0.516135636,2.49E-53,-17.07969017,PIGB,TSS1500-shore,15,55610624,FALSE
cg06399302,0.520866366,1.67E-47,15.93274804,CHST8,5'UTR-island,19,34113214,FALSE
cg20747000,0.546104171,7.24E-42,14.78432185,COLEC12,Body-island,18,500323,FALSE
cg26708235,0.504775231,2.02E-49,16.31419106,ATP8A2,1stExon-island,13,25946397,FALSE
cg12503102,0.503294413,3.95E-42,14.83909589,HS3ST3A1,TSS1500-island,17,13505558,FALSE
cg24908814,0.52283669,3.39E-39,14.22501787,FSTL4,5'UTR-island,5,132947725,FALSE
cg21865150,0.500328041,1.12E-62,18.85885655,HOXB13,Body-island,17,46804239,TRUE
