Probe_ID,beta_diff,adj.P.Val,t,gene,feat.cgi,chr,coord,is_candidate
cg25547580,0.488812071,8.33E-91,23.37484599,ONECUT2,1stExon-island,18,55103734,TRUE
cg17241776,0.488787189,2.44E-118,27.90344958,DLEU7,1stExon-island,13,51417469,TRUE
cg11086982,0.488596756,6.85E-87,22.72124995,PAPLN,Body-opensea,14,73736972,TRUE
cg19866866,0.487968156,5.39E-109,26.37502517,ZNF648,Body-island,1,182026044,FALSE
cg13019491,0.487760896,3.25E-105,25.75425697,SIX6,Body-island,14,60977856,TRUE
cg12606911,0.4875041,2.96E-110,26.58136058,CD8A,TSS1500-island,2,87036626,TRUE
cg02409878,0.487292239,4.21E-56,17.34677378,OSR2,5'UTR-island,8,99960498,FALSE
cg16607065,-0.48716497,3.1E-85,-22.44998136,TP73,Body-island,1,3607222,TRUE
cg04559779,0.485521574,2.38E-76,20.93365502,MIR124-2,Body-shore,8,65291730,TRUE
cg20399616,0.483859658,2.43E-45,15.30100516,BCAT1,Body-island,12,25055967,TRUE
cg01518889,0.483601202,9.51E-76,20.83042306,GATA2,Body-shelf,3,128202493,TRUE
cg08149193,0.4831342,1.03E-82,22.01822154,ALX4,TSS1500-shore,11,44333067,TRUE
cg20747577,0.481684622,2.28E-60,18.12595474,SKAP2,Body-opensea,7,26897253,TRUE
cg05057720,0.481427711,1.52E-68,19.58145509,CLEC14A,1stExon-island,14,38724675,TRUE
cg08158952,0.481170918,1.69E-65,19.04351441,ZNF835,Body-island,19,57183016,FALSE
cg24813176,0.480470661,6.84E-68,19.47091495,WNT6,Body-island,2,219736167,TRUE
cg11528328,0.480437856,6.23E-63,18.58692129,CLIC6,TSS200-island,21,36041683,FALSE
cg10974980,0.479661666,9.9E-71,19.96792521,LOXL1,Body-opensea,15,74243781,TRUE
cg26019295,0.47925446,3.35E-86,22.61256077,HOXC4,TSS1500-shore,12,54409212,TRUE
cg20311002,-0.477829493,6.83E-92,-23.56337685,C1orf101,Body-opensea,1,244763541,FALSE
cg13021333,0.477436153,1.02E-79,21.50959978,NRN1,Body-island,6,6004207,TRUE
cg05501617,-0.477431621,4.68E-103,-25.40995826,IRF2,Body-opensea,4,185339075,TRUE
cg16505233,-0.476256291,4.49E-89,-23.09421583,EDEM1,Body-opensea,3,5239311,FALSE
cg03221073,-0.475896154,6.55E-99,-24.72736132,HMCN1,Body-opensea,1,186157555,FALSE
cg08047907,0.47561585,3.9E-56,17.35282784,C1orf114,TSS200-island,1,169396858,FALSE
cg23652859,0.475355993,2.71E-103,25.43895085,MGC2752,Body-island,19,59092692,FALSE
cg05477457,0.475101246,7.66E-89,23.04780264,PALLD,Body-island,4,169799308,TRUE
cg00963378,0.474775612,1.44E-109,26.46893535,GJA3,Body-island,13,20716638,TRUE
cg02897989,0.474422093,7.56E-72,20.15735176,PRRX1,Body-shelf,1,170637723,TRUE
cg15188623,0.474184495,1.06E-148,32.88180321,ZNF710,5'UTR-shore,15,90608429,FALSE
cg04912712,0.474089339,4.77E-51,16.40496104,FOXN3,Body-opensea,14,89817982,TRUE
cg01277372,0.473412554,4.63E-59,17.89218331,MECOM,Body-shore,3,169378764,TRUE
cg11859607,0.473315514,3.85E-79,21.41124025,ADCYAP1,Body-island,18,909154,TRUE
cg04738965,0.472911827,1.13E-99,24.8437894,ZIC1,1stExon-island,3,147127662,TRUE
cg06370771,0.472145006,3.73E-67,19.34114163,PAX7,Body-shore,1,18960940,TRUE
cg12483545,0.471697944,7.46E-133,30.27078096,SKI,Body-opensea,1,2198879,TRUE
cg08044097,0.471404527,3.43E-64,18.81173931,SOX17,Body-island,8,55371013,TRUE
cg26279336,0.471104228,3.23E-47,15.67045595,LOC404266,Body-shore,17,46674438,FALSE
cg25857569,-0.470557653,9.09E-81,-21.69419431,PPM1L,Body-opensea,3,160717237,TRUE
cg08884571,0.470336756,2.8E-77,21.09281323,PPP1R13L,Body-island,19,45901453,TRUE
cg27649037,-0.470302719,2.82E-64,-18.82686535,ST18,TSS200-opensea,8,53322510,TRUE
cg07268058,0.470258682,6.38E-72,20.1755588,ISL2,Body-island,15,76630260,FALSE
cg26165146,-0.469804227,1.97E-107,-26.1297903,ARNTL2,TSS1500-shore,12,27484656,TRUE
cg06495961,0.469634315,2.94E-89,23.11719263,DPP6,1stExon-island,7,153584582,TRUE
cg12602633,0.469204617,8.57E-71,19.97891479,PRRT1,1stExon-shore,6,32119691,FALSE
cg06383241,-0.468698275,1.22E-106,-25.9992758,MAP1LC3B2,TSS200-opensea,12,116997022,FALSE
cg05649391,-0.468409851,4.33E-107,-26.06304204,MYBPC3,Body-shore,11,47359115,TRUE
cg07536910,0.468327309,8.28E-101,25.03099143,EVX2,1stExon-island,2,176948105,FALSE
cg08243465,-0.467350155,1.05E-132,-30.26132335,PMEPA1,5'UTR-opensea,20,56274036,TRUE
cg23149881,-0.467347297,1.93E-117,-27.76922342,IL1B,TSS1500-opensea,2,113594654,TRUE
cg02486253,0.467016721,1.8E-74,20.61054069,RNF126P1,TSS200-island,17,55122828,FALSE
cg11940177,-0.466076586,1.35E-107,-26.15670457,PGAM1,Body-shelf,10,99188478,TRUE
cg00883689,-0.465805112,7.44E-81,-21.70908866,SPTBN1,Body-opensea,2,54802904,TRUE
cg23290344,0.465615759,1.42E-80,21.6549372,NEFM,TSS1500-island,8,24771466,TRUE
cg05514299,-0.465445105,1.48E-61,-18.3443439,MGAT5B,Body-shelf,17,74868670,FALSE
cg05726239,0.465153551,8.33E-67,19.27957859,SOBP,Body-shelf,6,107816677,TRUE
cg21865150,0.465072148,1.03E-66,19.25864492,HOXB13,Body-island,17,46804239,TRUE
cg18894648,0.465042366,1.77E-60,18.14958617,LOC645323,Body-shore,5,87974446,FALSE
cg21342392,-0.464985781,2.02E-75,-20.78017992,IMMP2L,TSS1500-shore,7,111203008,TRUE
cg23019935,0.464964191,6.69E-86,22.56223817,CDC42,Body-opensea,1,22416488,TRUE
cg19166302,0.464884466,2.2E-48,15.89583806,PARP15,1stExon-island,3,122296613,FALSE
cg06173536,0.46442994,2.5E-81,21.78972999,GNG4,TSS1500-island,1,235814462,TRUE
cg10168149,0.464396752,1.76E-96,24.31684233,FLJ32063,Body-island,2,200335558,FALSE
cg06186245,-0.464391562,9E-88,-22.87668461,TMEM45A,5'UTR-opensea,3,100245062,TRUE
cg17508991,0.463865018,8.63E-56,17.2891186,HCK,TSS1500-shore,20,30639305,TRUE
cg02565132,-0.463727044,1.48E-71,-20.10660671,EDAR,5'UTR-shore,2,109559473,TRUE
cg13659360,-0.463610062,1.57E-67,-19.40252297,TECTA,Body-opensea,11,121023627,FALSE
cg03181248,0.463070996,9.1E-85,22.36366522,SP9,TSS200-island,2,175199670,FALSE
cg05802386,-0.462924238,7.39E-127,-29.30718051,SLC2A1,Body-shore,1,43422920,TRUE
cg19022006,-0.462864579,3.79E-81,-21.75249313,SERPINB5,TSS200-opensea,18,61143945,TRUE
cg16440561,0.462551642,3.11E-114,27.23319411,SPEG,Body-island,2,220312854,FALSE
cg05581460,-0.462292646,6.93E-84,-22.21533708,PTPRN2,Body-shelf,7,157584183,TRUE
cg17495130,0.460976834,1.79E-75,20.78322233,HOXD13,3'UTR-shore,2,176960255,TRUE
cg17975443,0.459522981,1.4E-60,18.16826179,TBX4,Body-island,17,59534998,TRUE
cg05246522,-0.459346461,6.34E-99,-24.72978922,KSR1,TSS200-opensea,17,25798973,TRUE
cg15838320,-0.459122427,5.89E-110,-26.54373028,BCAS4,Body-shelf,20,49461129,FALSE
cg00793935,0.458889311,7.14E-82,21.87551971,TRPM8,Body-island,2,234847769,TRUE
cg24809269,-0.458786425,4.74E-107,-26.06702696,FAM100B,TSS1500-shore,17,74260692,FALSE
cg07011913,0.458767257,7.48E-93,23.71454882,HOXD4,TSS1500-shore,2,177014626,TRUE
cg13656408,-0.458569872,6.94E-107,-26.0396686,EMX1,3'UTR-opensea,2,73161954,TRUE
cg19588327,-0.458553559,1.98E-95,-24.15155137,HHAT,5'UTR-shelf,1,210506448,TRUE
cg04850731,0.45814344,8.32E-72,20.15013538,NXPH4,Body-island,12,57618943,FALSE
cg05217983,-0.458125641,1.43E-72,-20.28840987,RUNX2,Body-opensea,6,45406867,TRUE
cg07906724,-0.458110057,1.39E-103,-25.49621001,CHRNA6,TSS1500-opensea,8,42623946,TRUE
cg00390143,-0.456783971,1.41E-111,-26.80955613,GALNT9,Body-island,12,132842539,TRUE
cg06807993,-0.456476456,1.72E-97,-24.48395233,MIR657,TSS1500-shelf,17,79099785,TRUE
cg15092343,0.456440625,1.21E-99,24.83857351,MSX1,TSS1500-island,4,4860061,TRUE
cg20457275,0.455675658,1.31E-94,24.00666022,FOXF2,Body-island,6,1394071,TRUE
cg23786580,-0.455606349,2.7E-111,-26.76290664,HECW1,5'UTR-opensea,7,43204506,FALSE
cg26444528,0.455575868,5E-137,30.95152731,PCDH17,1stExon-island,13,58207859,TRUE
cg00084338,0.455290765,5.03E-86,22.57593651,DLL1,Body-shore,6,170595920,TRUE
cg11854392,-0.454332942,4.04E-119,-28.04336389,TXNRD2,Body-opensea,22,19879320,TRUE
cg22407942,-0.454282281,4.97E-169,-36.25565935,SNORD93,TSS1500-shore,7,22894828,FALSE
cg16001384,-0.454184448,2.07E-97,-24.47961808,NDRG1,5'UTR-shore,8,134306801,TRUE
cg07890553,-0.454147648,5.73E-114,-27.201312,TMEM39A,TSS1500-opensea,3,119182858,FALSE
cg25127692,-0.453911574,5.31E-58,-17.6991891,IGF2BP2,Body-opensea,3,185406536,TRUE
cg04360793,0.453761861,1.41E-115,27.45299628,ELTD1,5'UTR-island,1,79472361,FALSE
cg23752828,-0.453328712,1.02E-137,-31.0799724,DCTN2,TSS1500-shore,12,57941309,FALSE
cg03975694,0.453005593,3.18E-98,24.60529894,ZNF540,5'UTR-shelf,19,38042472,FALSE
cg16201883,-0.452893649,4.5E-99,-24.74507966,FSCN2,1stExon-island,17,79495953,FALSE
cg03752977,-0.452409038,2.37E-124,-28.89805428,ZFP41,5'UTR-shore,8,144330404,FALSE
cg16759976,-0.452083355,2.77E-54,-17.01308823,RTP1,TSS1500-shelf,3,186914720,FALSE
cg12492380,-0.452046333,7.02E-86,-22.55863891,MYH16,Body-opensea,7,98872169,FALSE
cg07092525,0.451829832,2.21E-112,26.94165612,STAR,5'UTR-opensea,8,38008386,TRUE
cg05983315,0.451428136,1.79E-55,17.23075866,ZSCAN1,5'UTR-island,19,58545837,FALSE
cg14294859,0.451231897,6.62E-79,21.37093574,SLC25A25,Body-opensea,9,130862556,TRUE
cg09159022,0.450042617,1.34E-73,20.46053347,CSMD1,Body-island,8,4849522,TRUE
cg02561912,0.450023676,9.2E-63,18.5609178,NFATC2,Body-shore,20,50158202,TRUE
