Probe_ID,logFC,t,adj.P.Val,CHR,MAPINFO,gene,feature,cgi,feat.cgi
cg05999255,-0.192999231,-12.85281107,2.76E-30,12,106641134,CKAP4,Body,island,Body-island
cg25537724,-0.113347673,-12.83469286,3.22E-30,2,39663782,MAP4K3,Body,shore,Body-shore
cg18369257,-0.128308199,-12.82709174,3.35E-30,11,61520258,C11orf9,1stExon,shore,1stExon-shore
cg25762195,-0.074793304,-12.775906,5.58E-30,8,144450925,RHPN1,TSS200,island,TSS200-island
cg05923587,-0.101386983,-12.73503215,8.31E-30,16,75285503,BCAR1,Body,island,Body-island
cg09445727,-0.119677575,-12.72821514,8.35E-30,16,75285526,BCAR1,Body,island,Body-island
cg12148919,-0.425911378,-12.72812618,8.35E-30,6,128841705,PTPRK,1stExon,island,1stExon-island
cg25764464,-0.327942662,-12.71515919,9.27E-30,12,19282832,PLEKHA5,Body,island,Body-island
cg25906419,-0.258755589,-12.69999762,1.06E-29,21,42540409,BACE2,1stExon,island,1stExon-island
cg03231024,-0.156678857,-12.62996764,2.15E-29,1,155100501,EFNA1,1stExon,shore,1stExon-shore
cg13703737,0.306384074,12.61223797,2.52E-29,6,3386584,SLC22A23,Body,opensea,Body-opensea
cg16253641,-0.283965734,-12.57598315,3.59E-29,1,85929949,DDAH1,Body,island,Body-island
cg08557517,-0.276977865,-12.55964793,4.14E-29,7,32996881,FKBP9,TSS200,island,TSS200-island
cg25591867,-0.320639516,-12.5067327,7.03E-29,12,106641008,CKAP4,Body,island,Body-island
cg19496782,-0.326962762,-12.49351153,7.87E-29,18,19749376,GATA6,TSS200,island,TSS200-island
cg06471681,-0.212145434,-12.46955916,9.86E-29,17,72984322,CDR2L,Body,island,Body-island
cg16841327,-0.115670604,-12.45111704,1.17E-28,22,46466183,,IGR,island,IGR-island
cg12618546,-0.068304369,-12.38955101,2.17E-28,1,32817463,,IGR,island,IGR-island
cg08308459,-0.181350893,-12.20076988,1.51E-27,2,38893161,GALM,5'UTR,opensea,5'UTR-opensea
cg24878854,-0.285715183,-12.17417508,1.94E-27,7,32996873,FKBP9,TSS200,island,TSS200-island
cg05767788,-0.063205618,-12.12955336,3.00E-27,2,198364585,HSPD1,1stExon,island,1stExon-island
cg02216250,-0.213751224,-12.09854027,3.98E-27,5,68788173,OCLN,5'UTR,island,5'UTR-island
cg07240673,-0.162356274,-12.09766643,3.98E-27,16,3550908,CLUAP1,TSS200,island,TSS200-island
cg07927488,-0.149856841,-12.09288958,4.09E-27,6,128841426,PTPRK,1stExon,island,1stExon-island
cg24862627,-0.300021904,-12.06784772,5.18E-27,7,100425238,EPHB4,TSS200,island,TSS200-island
cg10815400,-0.177332434,-12.0431385,6.54E-27,1,65210420,RAVER2,TSS1500,island,TSS1500-island
cg21196132,-0.332997869,-11.99912934,1.01E-26,22,37915278,CARD10,TSS200,island,TSS200-island
cg16408771,-0.328484965,-11.94050745,1.79E-26,20,6103823,FERMT1,1stExon,island,1stExon-island
cg05499944,-0.246572457,-11.84435255,4.67E-26,2,219923792,IHH,Body,island,Body-island
cg24077501,-0.342691843,-11.83472871,5.06E-26,7,32996869,FKBP9,TSS200,island,TSS200-island
cg10918580,-0.294788959,-11.72735758,1.47E-25,5,72922281,RGNEF,5'UTR,island,5'UTR-island
cg04664153,-0.269349481,-11.70754151,1.76E-25,2,133174035,GPR39,TSS200,island,TSS200-island
cg06780358,-0.325817552,-11.64243363,3.32E-25,11,48003065,PTPRJ,Body,island,Body-island
cg13898357,-0.255776513,-11.63440866,3.53E-25,9,12775750,C9orf150,1stExon,island,1stExon-island
cg02519037,-0.434536997,-11.59088856,5.37E-25,10,123872515,TACC2,Body,island,Body-island
cg06208989,-0.281956546,-11.58787677,5.44E-25,1,15479792,TMEM51,TSS1500,island,TSS1500-island
cg07007778,-0.068806313,-11.53811261,8.78E-25,13,111268017,CARKD,5'UTR,island,5'UTR-island
cg16880597,-0.285858467,-11.50487026,1.20E-24,12,12420514,LRP6,TSS1500,island,TSS1500-island
cg07232033,-0.334100834,-11.49754967,1.27E-24,2,236403031,AGAP1,1stExon,island,1stExon-island
cg10338082,-0.285827494,-11.44995457,2.01E-24,3,124303555,KALRN,1stExon,island,1stExon-island
cg13191129,-0.07071993,-11.44492137,2.08E-24,12,52345885,ACVR1B,Body,island,Body-island
cg11255163,-0.308165774,-11.44071657,2.13E-24,16,68771200,CDH1,5'UTR,island,5'UTR-island
cg03628682,-0.313750986,-11.43226499,2.28E-24,5,72921796,RGNEF,TSS200,island,TSS200-island
cg12275723,-0.308195373,-11.41439006,2.68E-24,1,10856739,CASZ1,TSS200,island,TSS200-island
cg21716444,-0.309860105,-11.40372247,2.94E-24,22,37915250,CARD10,TSS200,island,TSS200-island
cg16217610,-0.368304899,-11.39845208,3.05E-24,4,108746323,SGMS2,5'UTR,island,5'UTR-island
cg20390150,-0.078279796,-11.38564642,3.41E-24,22,43547555,TSPO,1stExon,island,1stExon-island
cg03057164,-0.046220331,-11.33589085,5.41E-24,11,17099458,RPS13,TSS1500,island,TSS1500-island
cg25517211,-0.080632489,-11.33578,5.41E-24,18,19192157,SNRPD1,TSS200,island,TSS200-island
cg05734220,-0.349524694,-11.29738351,7.78E-24,14,103524410,CDC42BPB,TSS1500,island,TSS1500-island
cg03887534,-0.039436783,-11.23837001,1.37E-23,22,18121194,BCL2L13,TSS1500,shore,TSS1500-shore
cg13085414,-0.050233735,-11.20721797,1.83E-23,6,30068656,,IGR,island,IGR-island
cg04075428,-0.332079331,-11.19712285,1.99E-23,1,204042338,SOX13,1stExon,island,1stExon-island
cg00428624,-0.250898354,-11.18940387,2.12E-23,17,1613842,TLCD2,TSS200,island,TSS200-island
cg08467512,-0.29045447,-11.18428236,2.20E-23,12,13044556,GPRC5A,1stExon,island,1stExon-island
cg00689211,-0.351950462,-11.17995125,2.27E-23,21,42880107,TMPRSS2,TSS200,island,TSS200-island
cg07560096,-0.264839684,-11.17087287,2.44E-23,11,86383182,ME3,5'UTR,island,5'UTR-island
cg02566698,-0.151642413,-11.14816371,3.01E-23,16,3550932,CLUAP1,TSS200,island,TSS200-island
cg16336802,-0.287658448,-11.13493378,3.38E-23,16,30787463,,IGR,island,IGR-island
cg07560035,-0.306690446,-11.130459,3.49E-23,8,127570383,FAM84B,1stExon,island,1stExon-island
cg25793630,-0.075455234,-11.1068975,4.33E-23,6,30068667,,IGR,island,IGR-island
cg04873147,-0.139546815,-11.08359129,5.36E-23,13,73634369,KLF5,Body,island,Body-island
cg24306779,-0.251010192,-11.072368,5.91E-23,16,58060336,MMP15,1stExon,island,1stExon-island
cg05207227,-0.36466629,-11.06642552,6.19E-23,22,29703180,GAS2L1,5'UTR,island,5'UTR-island
cg21164232,-0.239152896,-11.04653604,7.41E-23,18,3452359,TGIF1,5'UTR,island,5'UTR-island
cg14902356,-0.058824132,-11.03033704,8.57E-23,20,10015648,ANKRD5,TSS200,island,TSS200-island
cg17594334,-0.218032504,-11.01845317,9.50E-23,14,68000381,PLEKHH1,5'UTR,island,5'UTR-island
cg02823293,-0.265813621,-11.01349476,9.86E-23,4,108746407,SGMS2,5'UTR,island,5'UTR-island
cg17792315,-0.207001685,-11.00657697,1.04E-22,5,72921653,RGNEF,TSS1500,island,TSS1500-island
cg11365360,-0.243029267,-10.98876415,1.22E-22,3,184279509,EPHB3,TSS200,island,TSS200-island
cg20159775,-0.238668007,-10.98478296,1.26E-22,20,11872206,BTBD3,5'UTR,island,5'UTR-island
cg03877492,-0.367548212,-10.95954483,1.59E-22,19,1567421,MEX3D,Body,island,Body-island
cg09915299,-0.276036345,-10.95747182,1.60E-22,4,38666663,FLJ13197,TSS1500,shore,TSS1500-shore
cg05207526,-0.138215522,-10.95493464,1.62E-22,6,42110243,C6orf132,5'UTR,island,5'UTR-island
cg13584608,-0.099016573,-10.9406958,1.84E-22,2,38829176,HNRPLL,Body,island,Body-island
cg11287521,-0.248500495,-10.91699218,2.29E-22,10,124134015,PLEKHA1,TSS1500,shore,TSS1500-shore
cg04486568,-0.174790324,-10.9134229,2.34E-22,21,40178431,ETS2,5'UTR,island,5'UTR-island
cg15201400,-0.043688382,-10.9044931,2.53E-22,5,141392656,GNPDA1,TSS200,shore,TSS200-shore
cg06514344,-0.16710505,-10.89688596,2.69E-22,19,17905835,B3GNT3,TSS200,island,TSS200-island
cg04616797,-0.299123468,-10.89346046,2.75E-22,6,7542118,DSP,1stExon,island,1stExon-island
cg01462829,-0.357479927,-10.8865735,2.91E-22,4,11430903,HS3ST1,TSS1500,island,TSS1500-island
cg13151266,-0.112080289,-10.87959207,3.08E-22,20,10654828,JAG1,TSS200,island,TSS200-island
cg07799947,-0.357982715,-10.87478849,3.20E-22,2,101436171,NPAS2,TSS1500,island,TSS1500-island
cg26836183,-0.170385738,-10.8691928,3.34E-22,22,23863920,,IGR,island,IGR-island
cg12004206,-0.240616263,-10.86770613,3.34E-22,9,138987102,NACC2,5'UTR,island,5'UTR-island
cg14917572,0.381838013,10.86741453,3.34E-22,2,3580506,,IGR,opensea,IGR-opensea
cg10235961,-0.084639068,-10.82710373,4.85E-22,3,48471218,PLXNB1,5'UTR,island,5'UTR-island
cg09888721,-0.188514874,-10.82097624,5.10E-22,21,40178652,ETS2,5'UTR,island,5'UTR-island
cg11027772,-0.313530574,-10.81016787,5.58E-22,16,30817058,,IGR,island,IGR-island
cg04000140,-0.084201098,-10.80954957,5.58E-22,20,43977046,SDC4,1stExon,island,1stExon-island
cg19922442,-0.414308255,-10.79296473,6.48E-22,1,8086588,ERRFI1,TSS200,island,TSS200-island
cg05920454,-0.200438856,-10.78362669,7.02E-22,12,6310391,CD9,Body,island,Body-island
cg01909551,0.24561909,10.77975996,7.22E-22,3,52223951,,IGR,opensea,IGR-opensea
cg11815363,-0.256974911,-10.77487482,7.49E-22,1,233750184,KCNK1,1stExon,island,1stExon-island
cg22356593,-0.067341713,-10.75913904,8.62E-22,1,215741182,KCTD3,Body,island,Body-island
cg18422443,-0.253753981,-10.75363776,9.01E-22,12,88974386,KITLG,TSS200,island,TSS200-island
cg13902189,-0.366284361,-10.74559343,9.58E-22,1,33207817,KIAA1522,Body,island,Body-island
cg00927294,-0.345833718,-10.74543132,9.58E-22,7,122526408,CADPS2,5'UTR,island,5'UTR-island
cg27610941,-0.257641691,-10.71486313,1.27E-21,17,72984467,CDR2L,Body,island,Body-island
cg23262134,-0.350582081,-10.70712205,1.35E-21,20,18038589,OVOL2,TSS200,island,TSS200-island
cg08982381,-0.274997587,-10.69580933,1.49E-21,9,80647290,GNAQ,TSS1500,island,TSS1500-island
cg21205463,-0.117712527,-10.68823325,1.59E-21,9,132258412,,IGR,island,IGR-island
cg13482485,-0.200207938,-10.68693971,1.60E-21,1,99127787,SNX7,Body,shore,Body-shore
cg20448717,-0.296151377,-10.66371905,1.97E-21,6,7542126,DSP,1stExon,island,1stExon-island
cg01633858,-0.078817314,-10.65759942,2.07E-21,22,43547540,TSPO,1stExon,island,1stExon-island
cg12074057,-0.101286519,-10.65671894,2.07E-21,3,124605640,ITGB5,Body,island,Body-island
cg06053738,-0.059312566,-10.64630484,2.27E-21,6,30068793,,IGR,island,IGR-island
cg20371891,-0.24419797,-10.63768619,2.44E-21,13,111213752,RAB20,1stExon,island,1stExon-island
cg00488323,-0.233457309,-10.63084578,2.58E-21,9,124414166,DAB2IP,Body,island,Body-island
cg09930615,-0.269479743,-10.58992204,3.76E-21,6,36354988,ETV7,Body,shore,Body-shore
cg23179168,-0.283888195,-10.58885833,3.77E-21,8,127570165,FAM84B,5'UTR,island,5'UTR-island
cg00804485,-0.090538034,-10.57732851,4.17E-21,7,5569135,ACTB,Body,island,Body-island
cg08425449,-0.269540813,-10.56963876,4.42E-21,1,204042326,SOX13,1stExon,island,1stExon-island
cg02259047,0.18834314,10.56961736,4.42E-21,14,104175555,XRCC3,Body,opensea,Body-opensea
cg01070854,-0.323968654,-10.56445367,4.60E-21,6,7542456,DSP,Body,island,Body-island
cg05824225,-0.412724678,-10.55357837,5.06E-21,20,23618481,CST3,1stExon,island,1stExon-island
cg09631043,-0.203802626,-10.55206281,5.09E-21,10,123872229,TACC2,Body,island,Body-island
cg23795623,-0.057893946,-10.5411864,5.59E-21,13,111268031,CARKD,1stExon,island,1stExon-island
cg07882171,-0.055323703,-10.54058735,5.59E-21,20,43976709,SDC4,Body,island,Body-island
cg04678219,-0.065189189,-10.52621698,6.35E-21,20,16554259,KIF16B,TSS200,island,TSS200-island
cg17178966,-0.26826982,-10.52073039,6.63E-21,12,12420075,LRP6,TSS1500,island,TSS1500-island
cg16382322,-0.30084114,-10.51175753,7.16E-21,5,141061902,ARAP3,TSS200,opensea,TSS200-opensea
cg03080985,-0.148674635,-10.48561112,9.07E-21,6,80340683,SH3BGRL2,TSS1500,shore,TSS1500-shore
cg05183229,-0.093899337,-10.43361864,1.46E-20,10,25012543,ARHGAP21,1stExon,island,1stExon-island
cg10708905,-0.415766903,-10.41378402,1.74E-20,12,59313883,LRIG3,1stExon,island,1stExon-island
cg10675659,-0.327848497,-10.41235599,1.75E-20,12,19283425,PLEKHA5,Body,island,Body-island
cg07061566,-0.314196902,-10.40122141,1.93E-20,12,88974433,KITLG,TSS200,island,TSS200-island
cg19991899,-0.237007227,-10.39330356,2.06E-20,2,9347943,ASAP2,Body,island,Body-island
cg01754028,-0.219249519,-10.38774008,2.14E-20,2,159825833,TANC1,5'UTR,island,5'UTR-island
cg27500214,-0.317375472,-10.3875982,2.14E-20,10,35104499,PARD3,TSS1500,island,TSS1500-island
cg19646445,-0.121445802,-10.35556963,2.86E-20,1,215740697,KCTD3,TSS200,island,TSS200-island
cg04233664,-0.224475976,-10.34218078,3.22E-20,10,126848743,CTBP2,5'UTR,island,5'UTR-island
cg00734483,-0.227806183,-10.32998898,3.57E-20,21,42539961,BACE2,1stExon,island,1stExon-island
cg25099087,-0.31386676,-10.32695952,3.65E-20,2,201172481,SPATS2L,5'UTR,island,5'UTR-island
cg14540150,-0.223211179,-10.31647928,4.00E-20,10,126849760,CTBP2,TSS200,island,TSS200-island
cg25678929,-0.268696291,-10.28433062,5.33E-20,17,1613581,TLCD2,5'UTR,island,5'UTR-island
cg22463008,-0.051182542,-10.27401696,5.82E-20,5,141392717,GNPDA1,TSS200,shore,TSS200-shore
cg02331772,-0.346674077,-10.26897399,6.06E-20,1,99127069,SNX7,TSS200,island,TSS200-island
cg25255679,-0.095842116,-10.25700651,6.72E-20,8,144450942,RHPN1,TSS200,island,TSS200-island
cg02105377,-0.175778875,-10.24741691,7.29E-20,3,66024554,MAGI1,TSS200,island,TSS200-island
cg25030644,-0.408743789,-10.24476577,7.42E-20,1,227505910,CDC42BPA,TSS200,island,TSS200-island
cg16608348,-0.318720468,-10.23183972,8.30E-20,1,214724481,PTPN14,5'UTR,island,5'UTR-island
cg12116939,-0.202965566,-10.23095767,8.32E-20,14,103523919,CDC42BPB,TSS200,island,TSS200-island
cg06059032,-0.45806828,-10.21477008,9.58E-20,2,236402544,AGAP1,TSS200,island,TSS200-island
cg26078244,-0.184820076,-10.21345263,9.64E-20,5,1112110,SLC12A7,1stExon,island,1stExon-island
cg06815887,0.143272177,10.18343172,1.26E-19,1,2218432,SKI,Body,shelf,Body-shelf
cg23810348,-0.298850491,-10.18019696,1.29E-19,2,205410399,PARD3B,TSS200,island,TSS200-island
cg09856709,-0.336178205,-10.17030457,1.40E-19,22,25349051,,IGR,island,IGR-island
cg21637033,-0.296671715,-10.13264933,1.96E-19,12,3068077,TEAD4,TSS1500,island,TSS1500-island
cg16151977,-0.300131608,-10.12952486,2.01E-19,5,68788113,OCLN,TSS200,shore,TSS200-shore
cg11699925,-0.230240588,-10.11384182,2.30E-19,13,73634225,KLF5,Body,island,Body-island
cg23989635,-0.285392088,-10.11268594,2.31E-19,16,68771203,CDH1,5'UTR,island,5'UTR-island
cg25908635,-0.273478311,-10.10357964,2.49E-19,1,15479474,TMEM51,TSS1500,island,TSS1500-island
cg13904493,-0.045550152,-10.10062442,2.55E-19,1,233464194,KIAA1804,1stExon,island,1stExon-island
cg20337753,-0.147103459,-10.0858327,2.90E-19,22,36424119,RBM9,Body,shore,Body-shore
cg02915837,-0.381705742,-10.07882813,3.07E-19,12,3069243,TEAD4,5'UTR,island,5'UTR-island
cg26093175,-0.218357282,-10.07366825,3.19E-19,3,66024549,MAGI1,TSS200,island,TSS200-island
cg00156072,-0.162168728,-10.06774627,3.35E-19,1,85930813,DDAH1,1stExon,island,1stExon-island
cg09052983,-0.228136405,-10.05544194,3.72E-19,18,52495605,RAB27B,TSS1500,island,TSS1500-island
cg26419941,-0.271695747,-10.05379853,3.76E-19,12,49183133,ADCY6,TSS1500,island,TSS1500-island
cg16886895,-0.236225211,-10.0497594,3.88E-19,1,16481990,EPHA2,Body,island,Body-island
cg01814495,0.206693013,10.04883288,3.89E-19,16,29870308,CDIPT,3'UTR,shelf,3'UTR-shelf
cg02090014,-0.261713959,-10.03715471,4.30E-19,7,156802340,MNX1,TSS1500,island,TSS1500-island
cg00112091,-0.339234207,-10.03509188,4.35E-19,11,12696280,TEAD1,1stExon,island,1stExon-island
cg11310898,-0.243321161,-10.03047981,4.51E-19,6,1316923,,IGR,island,IGR-island
cg02997111,-0.287647381,-10.02422842,4.75E-19,19,41698906,CYP2S1,TSS1500,island,TSS1500-island
cg24836204,-0.080994866,-10.01507317,5.13E-19,8,144450966,RHPN1,TSS200,island,TSS200-island
cg26220018,-0.366367299,-10.01448588,5.13E-19,8,76320150,,IGR,island,IGR-island
cg02066529,-0.324265388,-10.01324139,5.16E-19,5,141255565,PCDH1,Body,island,Body-island
cg25925945,-0.229863313,-9.99504667,6.04E-19,2,183902764,NCKAP1,1stExon,island,1stExon-island
cg27357282,-0.269691524,-9.987475015,6.43E-19,18,52495744,RAB27B,TSS200,island,TSS200-island
cg04899282,-0.236860673,-9.969700527,7.50E-19,14,103523516,CDC42BPB,1stExon,island,1stExon-island
cg22121388,-0.054681312,-9.968625416,7.54E-19,6,30069873,,IGR,island,IGR-island
cg03950166,-0.126431228,-9.965468036,7.71E-19,15,80988613,FAM108C1,Body,island,Body-island
cg03384094,-0.231864839,-9.951237099,8.72E-19,8,19172048,SH2D4A,5'UTR,island,5'UTR-island
cg13742648,-0.304799837,-9.943127444,9.32E-19,9,138987085,NACC2,5'UTR,island,5'UTR-island
cg07629688,-0.101078167,-9.938462418,9.67E-19,16,3550842,CLUAP1,TSS200,island,TSS200-island
cg01372608,-0.048411269,-9.937664518,9.69E-19,1,116185223,VANGL1,5'UTR,island,5'UTR-island
cg14169521,-0.238271538,-9.923573479,1.09E-18,7,12726944,ARL4A,5'UTR,island,5'UTR-island
cg23699638,-0.207231957,-9.915795132,1.17E-18,9,138987290,NACC2,TSS200,island,TSS200-island
cg09640682,-0.285304798,-9.910270673,1.22E-18,13,20767016,GJB2,1stExon,island,1stExon-island
cg19350682,-0.253032588,-9.909544724,1.22E-18,7,100425236,EPHB4,TSS200,island,TSS200-island
cg21982518,-0.302626662,-9.888874095,1.46E-18,16,18995173,TMC7,TSS1500,island,TSS1500-island
cg01614478,-0.167239914,-9.883302905,1.53E-18,9,86571814,C9orf64,TSS200,island,TSS200-island
cg14507346,-0.066655059,-9.879465287,1.57E-18,12,49076207,C12orf41,TSS200,island,TSS200-island
cg19796273,-0.291895538,-9.870543112,1.69E-18,5,16936868,MYO10,TSS1500,island,TSS1500-island
cg06160898,-0.294759749,-9.869881135,1.70E-18,3,45187312,CDCP1,Body,island,Body-island
cg10168763,-0.129289104,-9.868969783,1.70E-18,16,4166767,ADCY9,TSS1500,island,TSS1500-island
cg11176889,-0.32727626,-9.852218776,1.97E-18,7,32997094,FKBP9,1stExon,island,1stExon-island
cg08808367,-0.227485933,-9.851305533,1.97E-18,1,178063320,RASAL2,5'UTR,island,5'UTR-island
cg11370532,-0.067188486,-9.851090321,1.97E-18,19,12912578,PRDX2,5'UTR,island,5'UTR-island
cg05361262,-0.183420933,-9.839650605,2.17E-18,9,38067597,SHB,Body,shore,Body-shore
cg11398020,-0.171096584,-9.837384926,2.20E-18,13,73634056,KLF5,Body,island,Body-island
cg19973135,-0.244125098,-9.827414641,2.39E-18,16,71660103,MARVELD3,5'UTR,island,5'UTR-island
cg05040544,-0.136482436,-9.817802328,2.59E-18,13,107188256,EFNB2,TSS1500,island,TSS1500-island
cg04118888,-0.209054492,-9.796227345,3.12E-18,14,34420437,EGLN3,TSS200,island,TSS200-island
cg04477203,-0.23713847,-9.792264737,3.22E-18,5,141061883,ARAP3,TSS200,opensea,TSS200-opensea
cg00148892,0.251361694,9.784340756,3.44E-18,18,19780878,GATA6,3'UTR,island,3'UTR-island
cg02499494,-0.266309985,-9.77661173,3.66E-18,12,59314172,LRIG3,5'UTR,island,5'UTR-island
cg08108188,-0.137729773,-9.773214367,3.76E-18,1,10853918,CASZ1,5'UTR,island,5'UTR-island
cg21321815,-0.259240173,-9.764991109,4.02E-18,20,18038296,OVOL2,1stExon,island,1stExon-island
cg14249872,-0.248362063,-9.764070312,4.03E-18,1,233749672,KCNK1,TSS200,island,TSS200-island
cg25613641,-0.175763469,-9.755332938,4.34E-18,4,140587143,MGST2,1stExon,opensea,1stExon-opensea
cg06085713,-0.19544752,-9.751308614,4.47E-18,18,3453726,TGIF1,5'UTR,shore,5'UTR-shore
cg03070095,-0.275849355,-9.749126969,4.54E-18,17,80656113,RAB40B,Body,island,Body-island
cg13233799,-0.204922022,-9.732580156,5.23E-18,1,43996745,PTPRF,1stExon,island,1stExon-island
cg01615258,-0.094244617,-9.721053651,5.76E-18,3,138634066,,IGR,shore,IGR-shore
cg10349436,-0.327750364,-9.704112062,6.65E-18,2,106015079,FHL2,5'UTR,island,5'UTR-island
cg24247823,-0.360331751,-9.702313493,6.73E-18,6,154831780,CNKSR3,TSS200,island,TSS200-island
cg03142365,-0.202370313,-9.700005569,6.84E-18,10,124134013,PLEKHA1,TSS1500,shore,TSS1500-shore
cg08923100,-0.263757337,-9.687905476,7.57E-18,1,178063828,LOC100302401,TSS1500,island,TSS1500-island
cg00853964,-0.152388751,-9.682593853,7.90E-18,1,33814536,PHC2,5'UTR,shore,5'UTR-shore
cg07452799,-0.407034644,-9.675326387,8.38E-18,10,35103869,PARD3,1stExon,island,1stExon-island
cg09770904,-0.066163792,-9.672972786,8.52E-18,12,6309613,CD9,1stExon,island,1stExon-island
cg20409501,-0.065398391,-9.639356244,1.14E-17,22,46466858,,IGR,island,IGR-island
cg03401997,-0.403025414,-9.631232354,1.22E-17,14,104583071,MIR203,TSS1500,island,TSS1500-island
cg11504081,-0.107924379,-9.623827701,1.29E-17,1,214725800,PTPN14,TSS1500,shore,TSS1500-shore
cg10601168,-0.274768862,-9.621451369,1.31E-17,6,154831192,CNKSR3,Body,island,Body-island
cg03473387,-0.234703394,-9.60894621,1.46E-17,18,19749395,GATA6,TSS200,island,TSS200-island
cg08483876,-0.24853859,-9.598589526,1.59E-17,8,145910754,,IGR,island,IGR-island
cg05883167,-0.214160061,-9.597218192,1.60E-17,10,102826029,,IGR,island,IGR-island
cg09951650,-0.06776641,-9.59330877,1.65E-17,15,51200814,AP4E1,TSS200,island,TSS200-island
cg09113560,-0.123396867,-9.586444589,1.74E-17,16,122812,RHBDF1,TSS200,island,TSS200-island
cg19497734,-0.245604845,-9.568237064,2.03E-17,4,144257218,GAB1,TSS1500,island,TSS1500-island
cg09235125,0.094014182,9.560632236,2.16E-17,6,158902197,TULP4,Body,opensea,Body-opensea
cg09818171,-0.245471038,-9.547519663,2.41E-17,20,6103629,FERMT1,1stExon,island,1stExon-island
cg06097803,-0.236622735,-9.546727773,2.42E-17,12,3068895,TEAD4,5'UTR,island,5'UTR-island
cg02439311,-0.189662806,-9.531846325,2.74E-17,7,122526763,CADPS2,5'UTR,island,5'UTR-island
cg27417632,-0.048075771,-9.521865026,2.98E-17,3,129158927,IFT122,TSS200,island,TSS200-island
cg23283875,-0.265389289,-9.515378759,3.14E-17,7,89874597,C7orf63,1stExon,island,1stExon-island
cg05048159,-0.340078611,-9.510757345,3.25E-17,8,127569650,FAM84B,5'UTR,island,5'UTR-island
cg02461727,-0.187753863,-9.505035326,3.40E-17,1,178063195,RASAL2,5'UTR,island,5'UTR-island
cg14589466,-0.235536725,-9.483185995,4.09E-17,17,9548894,USP43,TSS200,island,TSS200-island
cg07361491,-0.167170931,-9.48279744,4.09E-17,18,19749535,GATA6,5'UTR,island,5'UTR-island
cg25025297,-0.395743436,-9.477915671,4.25E-17,1,15480555,TMEM51,5'UTR,island,5'UTR-island
cg16065186,-0.316736565,-9.476980152,4.27E-17,17,37856663,ERBB2,5'UTR,island,5'UTR-island
cg13740482,-0.255835111,-9.470213026,4.51E-17,12,49183131,ADCY6,TSS1500,island,TSS1500-island
cg03534058,-0.249334756,-9.463060873,4.77E-17,9,99381359,CDC14B,Body,island,Body-island
cg00359181,-0.317259303,-9.461579892,4.81E-17,2,38893519,GALM,Body,opensea,Body-opensea
cg02620939,-0.268142872,-9.461201315,4.81E-17,3,171527998,PLD1,5'UTR,island,5'UTR-island
cg10456069,-0.091285166,-9.440079601,5.75E-17,16,3551320,CLUAP1,Body,shore,Body-shore
